작성일,평점,공감수,내용
2020-1-24,5,5,"생각 외로 너무 괜찮고 처음에 설명해즈는거랑 사진 끓어올때 아래서 ""근데 진짜 사진 너무많다;;""같은 잡담하는거 너무좋아요!"
2020-2-20,5,0,강아지 찍은사진만 보관할 수 있고 너무좋아요 good👍👍
2020-2-20,5,0,귀엽고 이야기를나눌수있어서 매우만족합니다!
2020-1-8,5,1,사진 한번에 모아서 보니 좋아요 !! 가끔 다른 사진이 들어가두 왠만하면 댕댕이 사진이 필터걸려 오는 듯요
2020-2-14,5,0,강아지 사진이 인식돼니 넘넘 싱기하고 좋아요!짱짱
2020-1-9,4,1,강아지가 몇살때 사진인지 설정하는 기능있으면 좋을것 같아요^^ 너무 사진들이 섞여있어서...
2020-1-20,5,0,강아지 사진을 스스로 모아주니까 엄청 편해요! 그런데 갑자기 동물원에서 본 호랑이 사진이 나와서 깜짝 놀랐네요ㅋㅋㅋ
2020-2-2,4,0,다른건 좋은데...다른 강아지 사진을 해야하는게 조금 아쉬워요ㅠㅠㅠ
2020-2-13,5,0,자동으로 강아지사진들이 정리되니 좋아요
2020-2-11,4,0,강아지가 두마리인데 한마리 밖에 못한게 아쉬워요 추가도 있었으면 좋게써용ㅇ 감사합니다
2020-1-4,5,2,근데ㅠㅠ 강아지 프로필 수정이 가능햇으면 좋겠어요!!!!! 생일 잘못입력햇는데ㅠㅠ 뭔가 너무 신경쓰여요ㅠㅠ
2019-12-27,5,2,이런 앱 어딨나했는데 간편하게 할수있어서 좋네요! 아지냥이는 로그인하는게 복잡했는데.. 이 앱이 더 편해용!
2020-1-16,4,0,다른 강아지 사진도 볼수있는 기능도 필요할 것같구요 수고스럽겠지만 사진인화서비스도 괜찬을 것 같아요
